0	-0.0207303
0.0338983	-0.0387597
0.0677966	-0.0549198
0.101695	-0.069852
0.135593	-0.0840462
0.169492	-0.0978409
0.20339	-0.111417
0.237288	-0.124787
0.271186	-0.137788
0.305085	-0.150078
0.338983	-0.161136
0.372881	-0.170283
0.40678	-0.176725
0.440678	-0.179608
0.474576	-0.178104
0.508475	-0.171492
0.542373	-0.159244
0.576271	-0.141071
0.610169	-0.116913
0.644068	-0.086851
0.677966	-0.0509091
0.711864	-0.0087331
0.745763	0.040858
0.779661	0.100411
0.813559	0.174313
0.847458	0.268852
0.881356	0.391231
0.915254	0.546758
0.949153	0.733809
0.983051	1.0001
